Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-58,Options,Story,,0,1013.8973572222222,0,0.0010205555555555556,0.0011102777777777777,0,1,0,1,1,1
YIAM-57,Let's meet up,Story,,0,1013.8975194444444,0,0.0010191666666666667,0.0011222222222222222,0,1,0,1,1,1
YIAM-63,Account: iOS - napojení na BE,Sub-task,iOS,5.75,0,287.871105,0.004416388888888889,922.6667611111111,0,0,1,1,1,1
YIAM-56,Conversation view,Story,,0,1013.8977041666666,0,0.0010044444444444445,0.0011266666666666667,0,1,0,1,1,1
YIAM-55,Chat,Epic,,0,0,0,0.0008255555555555555,0.0007133333333333334,0,0,0,1,1,1
YIAM-53,MessagesList,Story,,0,1013.8979899999999,0,0.0014997222222222222,0.0011575,0,1,0,1,1,1
YIAM-54,MessagesAction,Story,,0,1013.8979280555557,0,0.0014908333333333334,0.0011744444444444443,0,1,0,1,1,1
YIAM-49,Recomended: BE - ukladanie filtrov do db,Sub-task,BE,10.75,0,162.12365472222223,122.95761055555555,1444.9148425,0,0,1,1,1,1
YIAM-46,Daymaker List: iOS - UI,Sub-task,iOS,15.75,0,316.6910752777778,140.22672111111112,703.9548233333334,2.5409116666666662,0,3,2,2,2
YIAM-47,Daymaker List: BE pre zoznam yiamers near me,Sub-task,BE,26.75,0,41.48521972222222,22.82755472222222,1665.6820630555555,0,0,1,1,1,1
YIAM-48,Recomended: iOS - UI,Sub-task,iOS,9.5,0,27.72849722222222,169.19172916666665,533.72077,0,0,1,1,1,1
YIAM-44,Interests,Story,,0,1013.8983477777779,0,0.0014844444444444445,0.001176111111111111,0,1,0,1,1,1
YIAM-45,Settings,Story,,0,1013.8628649999999,0,0.0003566666666666667,0.0003055555555555556,0,1,0,1,1,1
YIAM-42,Profile,Story,,0,1013.8987358333334,0,0.001466111111111111,0.0011930555555555555,0,1,0,1,1,1
YIAM-41,User detail,Story,,0,1013.8989369444445,0,0.001461111111111111,0.0011991666666666667,0,1,0,1,1,1
YIAM-43,Account,Story,,0,1013.8985516666667,0,0.0014847222222222221,0.0011825,0,1,0,1,1,1
YIAM-39,Recommended,Story,,0,1927.1978316666666,0.0003355555555555555,0.00042722222222222223,250.92600055555553,0,1,1,1,1,1
YIAM-38,Daymaker List,Story,,0,1013.8993147222221,0,0.0014594444444444444,0.001201388888888889,0,1,0,1,1,1
YIAM-37,Profile,Epic,,0,0,0,0.0005927777777777778,0.0004488888888888889,0,0,0,1,1,1
YIAM-36,Home,Epic,,0,0,0,0.0008022222222222222,0.0005097222222222222,0,0,0,1,1,1
YIAM-35,User Stories,Task,,58.75,0,0,0,0,0,0,0,0,0,1
YIAM-33,Project setup: BE - Project setup,Sub-task,BE,5.0,0,4.338050555555555,0.0025430555555555553,0.0005733333333333334,0,0,1,1,1,1
YIAM-34,PM,Task,,53.0,0,0,0,0,0,0,0,0,0,1
YIAM-32,Project setup: iOS - Project setup,Sub-task,iOS,6.75,0,0.0020063888888888887,7.116128333333334,0.00040166666666666665,0,0,1,1,1,1
YIAM-29,Permitions: iOS,Sub-task,iOS,8.25,0,654.3423683333333,18.52573083333333,323.06829805555554,0,0,1,1,1,1
YIAM-31,Project setup,Story,,0.75,1013.9170869444443,0,0.003259722222222222,0.0015158333333333332,0,1,0,1,1,1
